timestamp,MQ3,MQ135,MQ8,MQ5,MQ7,MQ4,MQ6,MQ2,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity
2024-09-16 08:43:04,601,892,845,444,943,819,726,696,714,29.73,84231.85,30.00,80.00
2024-09-16 08:43:04,604,891,846,442,944,819,725,695,715,29.72,83566.66,30.00,80.00
2024-09-16 08:43:05,604,892,845,442,943,818,727,692,717,29.73,83470.80,30.00,80.00
2024-09-16 08:43:05,603,893,846,443,943,819,727,694,716,29.73,84981.16,30.00,80.00
2024-09-16 08:43:06,604,893,846,445,944,819,727,697,716,29.73,85498.66,30.00,80.00
2024-09-16 08:43:06,605,893,846,447,943,818,727,698,715,29.74,85671.64,30.00,80.00
2024-09-16 08:43:07,605,893,846,445,943,819,728,697,717,29.75,85790.69,30.00,80.00
2024-09-16 08:43:08,607,892,847,444,943,818,727,699,715,29.76,85588.91,30.00,80.00
2024-09-16 08:43:08,608,891,848,444,944,821,727,700,717,29.76,85447.14,30.00,80.00
2024-09-16 08:43:09,610,893,848,445,942,819,728,698,717,29.76,85326.60,30.00,80.00
2024-09-16 08:43:09,610,892,849,445,944,819,725,700,716,29.76,84943.64,30.00,80.00
2024-09-16 08:43:10,608,892,848,444,944,819,728,699,718,29.75,84574.57,30.00,80.00
2024-09-16 08:43:10,610,893,848,445,943,820,726,698,718,29.76,84048.42,30.00,80.00
2024-09-16 08:43:11,610,893,847,446,942,819,726,696,717,29.76,83497.53,30.00,80.00
2024-09-16 08:43:11,610,892,848,446,943,819,726,695,718,29.76,83538.80,30.00,80.00
2024-09-16 08:43:12,612,892,849,445,944,818,725,696,717,29.76,84267.60,30.00,80.00
2024-09-16 08:43:12,611,893,849,444,944,820,726,697,716,29.76,84434.42,30.00,80.00
2024-09-16 08:43:13,612,893,847,445,942,819,726,696,718,29.76,84613.35,30.00,80.00
2024-09-16 08:43:13,612,894,848,446,943,820,725,697,716,29.77,84982.10,30.00,80.00
2024-09-16 08:43:14,611,893,846,445,943,818,725,700,716,29.77,85362.03,30.00,80.00
2024-09-16 08:43:14,613,891,847,446,941,821,725,700,717,29.78,85077.08,30.00,80.00
2024-09-16 08:43:15,614,892,848,445,944,820,724,700,718,29.78,84040.09,30.00,80.00
2024-09-16 08:43:15,612,892,848,445,943,819,725,697,717,29.78,84140.15,30.00,80.00
2024-09-16 08:43:16,614,894,848,444,943,819,726,700,718,29.78,86453.49,30.00,80.00
2024-09-16 08:43:16,614,893,848,446,942,820,725,702,718,29.78,86419.42,30.00,80.00
2024-09-16 08:43:17,616,892,848,448,942,821,725,703,717,29.79,86241.33,30.00,80.00
2024-09-16 08:43:17,614,893,848,445,944,819,725,703,718,29.79,86362.79,30.00,80.00
2024-09-16 08:43:18,614,894,846,447,942,820,726,703,718,29.78,86837.36,30.00,80.00
2024-09-16 08:43:18,614,894,846,447,943,820,724,705,717,29.79,86954.75,30.00,80.00
2024-09-16 08:43:19,614,894,846,446,942,819,725,706,716,29.78,87290.86,30.00,80.00
2024-09-16 08:43:19,615,893,848,446,943,819,725,706,717,29.78,86994.62,30.00,80.00
2024-09-16 08:43:20,614,892,847,445,943,821,723,706,718,29.78,85951.21,30.00,80.00
2024-09-16 08:43:20,616,891,848,447,942,822,723,705,719,29.77,84836.56,30.00,80.00
2024-09-16 08:43:21,614,893,848,445,944,820,725,702,719,29.77,84212.52,30.00,80.00
2024-09-16 08:43:21,616,893,847,447,943,821,725,701,718,29.76,83985.71,30.00,80.00
2024-09-16 08:43:22,616,893,847,447,943,822,723,702,719,29.75,83839.83,30.00,80.00
2024-09-16 08:43:22,616,893,848,448,943,819,724,701,718,29.75,84063.46,30.00,80.00
2024-09-16 08:43:23,617,892,848,446,944,821,722,702,718,29.76,84097.71,30.00,80.00
2024-09-16 08:43:23,617,894,847,448,943,819,723,701,718,29.75,83931.22,30.00,80.00
2024-09-16 08:43:24,616,894,848,447,944,821,721,701,719,29.77,83750.73,30.00,80.00
2024-09-16 08:43:24,616,894,848,449,944,819,722,700,719,29.77,83760.07,30.00,80.00
2024-09-16 08:43:25,615,896,847,450,943,819,723,700,718,29.77,83805.86,30.00,80.00
2024-09-16 08:43:26,618,893,848,448,944,819,723,698,719,29.76,83495.31,30.00,80.00
2024-09-16 08:43:26,618,893,849,449,944,820,722,697,718,29.76,83213.66,30.00,80.00
2024-09-16 08:43:27,618,894,849,449,944,821,721,697,719,29.76,85016.36,30.00,80.00
2024-09-16 08:43:27,616,895,849,450,943,818,722,700,718,29.77,85513.46,30.00,80.00
2024-09-16 08:43:28,615,893,847,447,944,821,720,702,719,29.78,85864.75,30.00,80.00
2024-09-16 08:43:28,616,894,846,449,941,820,719,704,717,29.79,86078.60,30.00,80.00
2024-09-16 08:43:29,615,895,848,447,943,821,720,703,719,29.79,86243.15,30.00,80.00
2024-09-16 08:43:29,615,893,848,447,944,820,720,703,717,29.80,86520.64,30.00,80.00
2024-09-16 08:43:30,616,893,848,447,942,820,720,704,718,29.79,86634.89,30.00,80.00
2024-09-16 08:43:30,614,893,848,447,943,820,720,704,717,29.79,86565.73,30.00,80.00
2024-09-16 08:43:31,615,894,846,447,943,821,719,706,718,29.79,86593.38,30.00,80.00
2024-09-16 08:43:31,615,894,847,448,944,819,719,707,716,29.79,86549.58,30.00,80.00
2024-09-16 08:43:32,613,894,845,448,943,821,721,705,718,29.78,86395.77,30.00,80.00
2024-09-16 08:43:32,616,894,847,450,945,819,719,707,718,29.77,86258.70,30.00,80.00
2024-09-16 08:43:33,615,894,846,449,942,819,719,705,718,29.78,86137.47,30.00,80.00
2024-09-16 08:43:33,613,894,845,449,942,819,720,704,718,29.78,84801.46,30.00,80.00
2024-09-16 08:43:34,615,894,846,450,942,820,718,703,718,29.77,84287.71,30.00,80.00
2024-09-16 08:43:34,615,892,847,451,943,819,718,702,719,29.76,84183.12,30.00,80.00
2024-09-16 08:43:35,615,892,847,450,943,821,717,702,717,29.76,85049.00,30.00,80.00
2024-09-16 08:43:35,612,894,846,451,943,819,717,704,718,29.77,84894.64,30.00,80.00
2024-09-16 08:43:36,613,893,846,449,943,820,717,703,719,29.78,84822.25,30.00,80.00
2024-09-16 08:43:36,613,893,847,451,943,819,717,703,718,29.78,84720.42,30.00,80.00
